id,category,file,speaker,condition_or_trigger,text
intro-greet,Intro,src/intro.ts,HERALD,on new game start,"Welcome, Resonant. The Arena has been watching you."
intro-origin,Intro,src/intro.ts,HERALD,after greet,"Before the trials begin — where does your power come from?"
intro-origin-choice-warrior,Intro (choice),src/intro.ts,player,origin choice,"Lifetimes of training. My body is a weapon."
intro-origin-choice-mage,Intro (choice),src/intro.ts,player,origin choice,"Desperation. Magic saved me when nothing else would."
intro-origin-choice-rogue,Intro (choice),src/intro.ts,player,origin choice,"Self-taught, in shadows, from stolen tomes."
intro-response-warrior,Intro,src/intro.ts,HERALD,bg-warrior,"Discipline forged in repetition. The Arena will test whether that holds under real pressure."
intro-response-mage,Intro,src/intro.ts,HERALD,bg-mage,"Necessity sharpens the gift. Your fire burns bright — but will it last three trials?"
intro-response-rogue,Intro,src/intro.ts,HERALD,bg-rogue,"Knowledge stolen in darkness often cuts the deepest. Prove it."
intro-meld-explain,Intro,src/intro.ts,HERALD,after response,"Your gift is MELDING. Two identical cards in hand — MELD them into a Tier II. Two Tier IIs into a Tier III. The merged card cycles through your discard. Find it again."
intro-meld-explain-choice-1,Intro (choice),src/intro.ts,player,meld-explain choice,"Understood. Show me the paths."
intro-meld-explain-choice-2,Intro (choice),src/intro.ts,player,meld-explain choice,"What does melding cost?"
intro-meld-cost,Intro,src/intro.ts,HERALD,asked cost,"AP equal to both cards combined — capped at your full 3 AP. You spend a tempo to climb. Worth it: a Tier III card is nearly unstoppable."
intro-class-pick,Intro,src/intro.ts,HERALD,before class pick,"Three paths of power. Choose the one that matches your nature."
intro-class-choice-warrior,Intro (choice),src/intro.ts,player,class pick,"WARRIOR — 70 HP · Strike focus · outlast anything"
intro-class-choice-mage,Intro (choice),src/intro.ts,player,class pick,"MAGE — 55 HP · Fireball focus · highest ceiling"
intro-class-choice-rogue,Intro (choice),src/intro.ts,player,class pick,"ROGUE — 60 HP · Slash & bleed · status mastery"
intro-take-warrior-frommage,Intro,src/intro.ts,HERALD,chose warrior / bg-mage,"The fighter's resolve, chosen by one who ran. Let that hunger be your armor."
intro-take-warrior-fromrogue,Intro,src/intro.ts,HERALD,chose warrior / bg-rogue,"Shadow to iron. The discipline will serve you in the deep trials."
